part,part_df,n_owner,owner_max_df,share,vs_owner
에코플랜트주,0,1,0,0.0,0.0
엘로힘빌랑스,0,1,0,0.0,0.0
연결조정전자산,0,1,0,0.0,0.0
오앤에스주,0,1,0,0.0,0.0
오토넥스구대유플러스,0,1,0,0.0,0.0
와이지모빌리티,0,1,0,0.0,0.0
와이지핀테크,0,1,0,0.0,0.0
와이지하모니,0,1,0,0.0,0.0
유드림사이드,0,1,0,0.0,0.0
유와이지플러스,0,1,0,0.0,0.0
유와이피,0,1,0,0.0,0.0
유캐쳐스,0,1,0,0.0,0.0
유트레이스,0,1,0,0.0,0.0
이테크건설주,0,1,0,0.0,0.0
인천북항철재부두,0,1,0,0.0,0.0
일사천리소호,0,1,0,0.0,0.0
임팩트컬렉티브,0,1,0,0.0,0.0
재브라이언,0,1,0,0.0,0.0
주고촌,0,1,0,0.0,0.0
주그로,0,1,0,0.0,0.0
주농협사료사,0,1,0,0.0,0.0
주뉴런,0,1,0,0.0,0.0
주미쓰이스미토모은행,0,1,0,0.0,0.0
주벤타브이알,0,1,0,0.0,0.0
주새만금,0,1,0,0.0,0.0
주서울역,0,1,0,0.0,0.0
주선영,0,1,0,0.0,0.0
주세아,0,1,0,0.0,0.0
주수서역,0,1,0,0.0,0.0
주스튜디오,0,1,0,0.0,0.0
주식회사신세계영랑호,0,1,0,0.0,0.0
주식회사에이아이피,0,1,0,0.0,0.0
주식회사오디언,0,1,0,0.0,0.0
주식회사포레스트팩토리,0,2,0,0.0,0.0
주씨제이이엔,0,1,0,0.0,0.0
주씨티,0,1,0,0.0,0.0
주아이브이웍스,0,1,0,0.0,0.0
주알이씨,0,1,0,0.0,0.0
주에스엔바이오사이언스,0,1,0,0.0,0.0
주에스엠,0,1,0,0.0,0.0
주에이에스씨,0,1,0,0.0,0.0
주에이치에스,0,1,0,0.0,0.0
주이엘,0,1,0,0.0,0.0
주제이와이피,0,1,0,0.0,0.0
주조품단조품금형,0,1,0,0.0,0.0
주청주테크노폴리스,0,1,0,0.0,0.0
주케나즈,0,1,0,0.0,0.0
주케이,0,3,0,0.0,0.0
주케이에스,0,1,0,0.0,0.0
주코스,0,2,0,0.0,0.0
주투게더,0,1,0,0.0,0.0
주포스코에이앤씨,0,1,0,0.0,0.0
주피앤오케미칼,0,2,0,0.0,0.0
주휴맥스,0,1,0,0.0,0.0
케이비스케일,0,2,0,0.0,0.0
케이비씨제이벤처펀드,0,1,0,0.0,0.0
케이비에스제이,0,2,0,0.0,0.0
케이비키로스,0,1,0,0.0,0.0
트레스유진,0,1,0,0.0,0.0
펙투스한화신,0,1,0,0.0,0.0
펜처케이,0,1,0,0.0,0.0
피씨씨우리,0,1,0,0.0,0.0
하나엑스바이오,0,1,0,0.0,0.0
하나제피러스,0,1,0,0.0,0.0
헬리오스제1호,0,1,0,0.0,0.0
헬스케어베트남,0,1,0,0.0,0.0
현대사이트솔루션주,0,1,0,0.0,0.0
현대일렉트릭주,0,1,0,0.0,0.0
현대중공중국투자,0,1,0,0.0,0.0
힐스테이트몬테로,0,1,0,0.0,0.0
